,1,2,3,4,5
0,1423440000000,28.6316,28.6316,28.6316,28.6316
1,1423526400000,28.7454,28.7454,28.7454,28.7454
2,1423612800000,26.4399,26.4399,26.4399,26.4399
3,1423699200000,25.7972,25.7972,25.7972,25.7972
4,1423785600000,23.4082,23.4082,23.4082,23.4082
5,1424044800000,23.7066,23.7066,23.7066,23.7066
6,1424131200000,24.3038,24.3038,24.3038,24.3038
7,1424822400000,26.3277,26.3277,26.3277,26.3277
8,1424908800000,26.1019,26.1019,26.1019,26.1019
9,1424995200000,27.0375,27.0375,27.0375,27.0375
10,1425254400000,28.0548,28.0548,28.0548,28.0548
11,1425340800000,28.4514,28.4514,28.4514,28.4514
12,1425427200000,27.6775,27.6775,27.6775,27.6775
13,1425513600000,26.665,26.665,26.665,26.665
14,1425600000000,26.4686,26.4686,26.4686,26.4686
15,1425859200000,27.2221,27.2221,27.2221,27.2221
16,1425945600000,26.215,26.215,26.215,26.215
17,1426032000000,25.8558,25.8558,25.8558,25.8558
18,1426118400000,25.9262,25.9262,25.9262,25.9262
19,1426204800000,25.0115,25.0115,25.0115,25.0115
20,1426464000000,25.1354,25.1354,25.1354,25.1354
21,1426550400000,25.249000000000002,25.249000000000002,25.249000000000002,25.249000000000002
22,1426636800000,25.1412,25.1412,25.1412,25.1412
23,1426723200000,27.2979,27.2979,27.2979,27.2979
24,1426809600000,26.4662,26.4662,26.4662,26.4662
25,1427068800000,28.7566,28.7566,28.7566,28.7566
26,1427155200000,30.6705,30.6705,30.6705,30.6705
27,1427241600000,30.1591,30.1591,30.1591,30.1591
28,1427328000000,29.0645,29.0645,29.0645,29.0645
29,1427414400000,29.2751,29.2751,29.2751,29.2751
30,1427673600000,27.8729,27.8729,27.8729,27.8729
31,1427760000000,30.089000000000002,30.089000000000002,30.089000000000002,30.089000000000002
32,1427846400000,30.3633,30.3633,30.3633,30.3633
33,1427932800000,31.7668,31.7668,31.7668,31.7668
34,1428019200000,31.1696,31.1696,31.1696,31.1696
35,1428364800000,29.509,29.509,29.509,29.509
36,1428451200000,31.9784,31.9784,31.9784,31.9784
37,1428537600000,35.0614,35.0614,35.0614,35.0614
38,1428624000000,33.4114,33.4114,33.4114,33.4114
39,1428883200000,36.8629,36.8629,36.8629,36.8629
40,1428969600000,40.1463,40.1463,40.1463,40.1463
41,1429056000000,40.1346,40.1346,40.1346,40.1346
42,1429142400000,37.3613,37.3613,37.3613,37.3613
43,1429228800000,41.5703,41.5703,41.5703,41.5703
44,1429488000000,47.7518,47.7518,47.7518,47.7518
45,1429574400000,46.9036,46.9036,46.9036,46.9036
46,1429660800000,44.2823,44.2823,44.2823,44.2823
47,1429747200000,44.7196,44.7196,44.7196,44.7196
48,1429833600000,45.6458,45.6458,45.6458,45.6458
49,1430092800000,44.883,44.883,44.883,44.883
50,1430179200000,46.5887,46.5887,46.5887,46.5887
51,1430265600000,46.6082,46.6082,46.6082,46.6082
52,1430352000000,46.5508,46.5508,46.5508,46.5508
53,1430697600000,46.1333,46.1333,46.1333,46.1333
54,1430784000000,45.4555,45.4555,45.4555,45.4555
55,1430870400000,45.5531,45.5531,45.5531,45.5531
56,1430956800000,46.7844,46.7844,46.7844,46.7844
57,1431043200000,44.9657,44.9657,44.9657,44.9657
58,1431302400000,45.7832,45.7832,45.7832,45.7832
59,1431388800000,45.9665,45.9665,45.9665,45.9665
60,1431475200000,46.0297,46.0297,46.0297,46.0297
61,1431561600000,44.9597,44.9597,44.9597,44.9597
62,1431648000000,41.4432,41.4432,41.4432,41.4432
63,1431907200000,37.4794,37.4794,37.4794,37.4794
64,1431993600000,37.2792,37.2792,37.2792,37.2792
65,1432080000000,41.5153,41.5153,41.5153,41.5153
66,1432166400000,42.0539,42.0539,42.0539,42.0539
67,1432252800000,43.0132,43.0132,43.0132,43.0132
68,1432512000000,45.8029,45.8029,45.8029,45.8029
69,1432598400000,45.8141,45.8141,45.8141,45.8141
70,1432684800000,46.9093,46.9093,46.9093,46.9093
71,1432771200000,46.6321,46.6321,46.6321,46.6321
72,1432857600000,47.2911,47.2911,47.2911,47.2911
73,1433116800000,47.2164,47.2164,47.2164,47.2164
74,1433203200000,47.6105,47.6105,47.6105,47.6105
75,1433289600000,47.8958,47.8958,47.8958,47.8958
76,1433376000000,46.5651,46.5651,46.5651,46.5651
77,1433462400000,46.5987,46.5987,46.5987,46.5987
78,1433721600000,43.6599,43.6599,43.6599,43.6599
79,1433808000000,47.5486,47.5486,47.5486,47.5486
80,1433894400000,48.0675,48.0675,48.0675,48.0675
81,1433980800000,49.7448,49.7448,49.7448,49.7448
82,1434067200000,49.7596,49.7596,49.7596,49.7596
83,1434326400000,48.0577,48.0577,48.0577,48.0577
84,1434412800000,47.273,47.273,47.273,47.273
85,1434499200000,47.3137,47.3137,47.3137,47.3137
86,1434585600000,47.0826,47.0826,47.0826,47.0826
87,1434672000000,46.9001,46.9001,46.9001,46.9001
88,1435017600000,51.1692,51.1692,51.1692,51.1692
89,1435104000000,52.0489,52.0489,52.0489,52.0489
90,1435190400000,47.4239,47.4239,47.4239,47.4239
91,1435276800000,48.0836,48.0836,48.0836,48.0836
92,1435536000000,60.0891,60.0891,60.0891,60.0891
93,1435622400000,59.2061,59.2061,59.2061,59.2061
94,1435708800000,55.9109,55.9109,55.9109,55.9109
95,1435795200000,57.5449,57.5449,57.5449,57.5449
96,1435881600000,55.1503,55.1503,55.1503,55.1503
97,1436140800000,60.0779,60.0779,60.0779,60.0779
98,1436227200000,54.8365,54.8365,54.8365,54.8365
99,1436313600000,51.7027,51.7027,51.7027,51.7027
100,1436400000000,55.3411,55.3411,55.3411,55.3411
101,1436486400000,54.0227,54.0227,54.0227,54.0227
102,1436745600000,52.9624,52.9624,52.9624,52.9624
103,1436832000000,49.3106,49.3106,49.3106,49.3106
104,1436918400000,45.0561,45.0561,45.0561,45.0561
105,1437004800000,41.6284,41.6284,41.6284,41.6284
106,1437091200000,39.3268,39.3268,39.3268,39.3268
107,1437350400000,38.7251,38.7251,38.7251,38.7251
108,1437436800000,38.7903,38.7903,38.7903,38.7903
109,1437523200000,35.2575,35.2575,35.2575,35.2575
110,1437609600000,32.984,32.984,32.984,32.984
111,1437696000000,33.0885,33.0885,33.0885,33.0885
112,1437955200000,30.4088,30.4088,30.4088,30.4088
113,1438041600000,39.518,39.518,39.518,39.518
114,1438128000000,41.7908,41.7908,41.7908,41.7908
115,1438214400000,37.4274,37.4274,37.4274,37.4274
116,1438300800000,40.1739,40.1739,40.1739,40.1739
117,1438560000000,40.4451,40.4451,40.4451,40.4451
118,1438646400000,40.0245,40.0245,40.0245,40.0245
119,1438732800000,40.2605,40.2605,40.2605,40.2605
120,1438819200000,41.5067,41.5067,41.5067,41.5067
121,1438905600000,40.7918,40.7918,40.7918,40.7918
122,1439164800000,40.7498,40.7498,40.7498,40.7498
123,1439251200000,40.1818,40.1818,40.1818,40.1818
124,1439337600000,39.8311,39.8311,39.8311,39.8311
125,1439424000000,39.6113,39.6113,39.6113,39.6113
126,1439510400000,39.6506,39.6506,39.6506,39.6506
127,1439769600000,40.0616,40.0616,40.0616,40.0616
128,1439856000000,39.0725,39.0725,39.0725,39.0725
129,1439942400000,37.4212,37.4212,37.4212,37.4212
130,1440028800000,38.0322,38.0322,38.0322,38.0322
131,1440115200000,35.2022,35.2022,35.2022,35.2022
132,1440374400000,35.6079,35.6079,35.6079,35.6079
133,1440460800000,48.3377,48.3377,48.3377,48.3377
134,1440547200000,63.7886,63.7886,63.7886,63.7886
135,1440633600000,61.1441,61.1441,61.1441,61.1441
136,1440720000000,61.1636,61.1636,61.1636,61.1636
137,1440979200000,62.2757,62.2757,62.2757,62.2757
138,1441065600000,63.3325,63.3325,63.3325,63.3325
139,1441152000000,60.8786,60.8786,60.8786,60.8786
140,1441584000000,59.4933,59.4933,59.4933,59.4933
141,1441670400000,47.9826,47.9826,47.9826,47.9826
142,1441756800000,45.6272,45.6272,45.6272,45.6272
143,1441843200000,41.7812,41.7812,41.7812,41.7812
144,1441929600000,40.8639,40.8639,40.8639,40.8639
145,1442188800000,42.346000000000004,42.346000000000004,42.346000000000004,42.346000000000004
146,1442275200000,44.6282,44.6282,44.6282,44.6282
147,1442361600000,41.3402,41.3402,41.3402,41.3402
148,1442448000000,41.0635,41.0635,41.0635,41.0635
149,1442534400000,40.1929,40.1929,40.1929,40.1929
150,1442793600000,39.8087,39.8087,39.8087,39.8087
151,1442880000000,37.1681,37.1681,37.1681,37.1681
152,1442966400000,38.9306,38.9306,38.9306,38.9306
153,1443052800000,37.6316,37.6316,37.6316,37.6316
154,1443139200000,34.9099,34.9099,34.9099,34.9099
155,1443398400000,31.9261,31.9261,31.9261,31.9261
156,1443484800000,31.0967,31.0967,31.0967,31.0967
157,1443571200000,30.654,30.654,30.654,30.654
158,1444262400000,31.704,31.704,31.704,31.704
159,1444348800000,30.0705,30.0705,30.0705,30.0705
160,1444608000000,30.0717,30.0717,30.0717,30.0717
161,1444694400000,31.9466,31.9466,31.9466,31.9466
162,1444780800000,31.7062,31.7062,31.7062,31.7062
163,1444867200000,29.6642,29.6642,29.6642,29.6642
164,1444953600000,29.264,29.264,29.264,29.264
165,1445212800000,30.3393,30.3393,30.3393,30.3393
166,1445299200000,30.9892,30.9892,30.9892,30.9892
167,1445385600000,32.7614,32.7614,32.7614,32.7614
168,1445472000000,31.7985,31.7985,31.7985,31.7985
169,1445558400000,30.6435,30.6435,30.6435,30.6435
170,1445817600000,32.3929,32.3929,32.3929,32.3929
171,1445904000000,30.8603,30.8603,30.8603,30.8603
172,1445990400000,31.724,31.724,31.724,31.724
173,1446076800000,31.7585,31.7585,31.7585,31.7585
174,1446163200000,28.9647,28.9647,28.9647,28.9647
175,1446422400000,29.8393,29.8393,29.8393,29.8393
176,1446508800000,30.0101,30.0101,30.0101,30.0101
177,1446595200000,30.249000000000002,30.249000000000002,30.249000000000002,30.249000000000002
178,1446681600000,32.1612,32.1612,32.1612,32.1612
179,1446768000000,32.4463,32.4463,32.4463,32.4463
180,1447027200000,41.9332,41.9332,41.9332,41.9332
181,1447113600000,43.0988,43.0988,43.0988,43.0988
182,1447200000000,39.618,39.618,39.618,39.618
183,1447286400000,38.7038,38.7038,38.7038,38.7038
184,1447372800000,37.738,37.738,37.738,37.738
185,1447632000000,38.3731,38.3731,38.3731,38.3731
186,1447718400000,37.7239,37.7239,37.7239,37.7239
187,1447804800000,37.0288,37.0288,37.0288,37.0288
188,1447891200000,35.9863,35.9863,35.9863,35.9863
189,1447977600000,34.0408,34.0408,34.0408,34.0408
190,1448236800000,33.2238,33.2238,33.2238,33.2238
191,1448323200000,31.8275,31.8275,31.8275,31.8275
192,1448409600000,32.2776,32.2776,32.2776,32.2776
193,1448496000000,29.695,29.695,29.695,29.695
194,1448582400000,34.5815,34.5815,34.5815,34.5815
195,1448841600000,34.5255,34.5255,34.5255,34.5255
196,1448928000000,33.7301,33.7301,33.7301,33.7301
197,1449014400000,32.4515,32.4515,32.4515,32.4515
198,1449100800000,32.5298,32.5298,32.5298,32.5298
199,1449187200000,32.4942,32.4942,32.4942,32.4942
200,1449446400000,31.6027,31.6027,31.6027,31.6027
201,1449532800000,31.4566,31.4566,31.4566,31.4566
202,1449619200000,31.1209,31.1209,31.1209,31.1209
203,1449705600000,30.8645,30.8645,30.8645,30.8645
204,1449792000000,30.765,30.765,30.765,30.765
205,1450051200000,31.0886,31.0886,31.0886,31.0886
206,1450137600000,30.4661,30.4661,30.4661,30.4661
207,1450224000000,30.2768,30.2768,30.2768,30.2768
208,1450310400000,29.274,29.274,29.274,29.274
209,1450396800000,26.0774,26.0774,26.0774,26.0774
210,1450656000000,26.6077,26.6077,26.6077,26.6077
211,1450742400000,27.6896,27.6896,27.6896,27.6896
212,1450828800000,28.0433,28.0433,28.0433,28.0433
213,1450915200000,27.1862,27.1862,27.1862,27.1862
214,1451001600000,26.2795,26.2795,26.2795,26.2795
215,1451260800000,28.1345,28.1345,28.1345,28.1345
216,1451347200000,27.2792,27.2792,27.2792,27.2792
217,1451433600000,27.4574,27.4574,27.4574,27.4574
218,1451520000000,27.9499,27.9499,27.9499,27.9499
219,1451865600000,33.4391,33.4391,33.4391,33.4391
220,1451952000000,32.1793,32.1793,32.1793,32.1793
221,1452038400000,31.5087,31.5087,31.5087,31.5087
222,1452124800000,23.3302,23.3302,23.3302,23.3302
223,1452211200000,35.2173,35.2173,35.2173,35.2173
224,1452470400000,33.8108,33.8108,33.8108,33.8108
225,1452556800000,35.9145,35.9145,35.9145,35.9145
226,1452643200000,34.7175,34.7175,34.7175,34.7175
227,1452729600000,37.8001,37.8001,37.8001,37.8001
228,1452816000000,35.4913,35.4913,35.4913,35.4913
229,1453075200000,37.241,37.241,37.241,37.241
230,1453161600000,37.3542,37.3542,37.3542,37.3542
231,1453248000000,36.8065,36.8065,36.8065,36.8065
232,1453334400000,35.1243,35.1243,35.1243,35.1243
233,1453420800000,34.8739,34.8739,34.8739,34.8739
234,1453680000000,34.743,34.743,34.743,34.743
235,1453766400000,32.0158,32.0158,32.0158,32.0158
236,1453852800000,38.4646,38.4646,38.4646,38.4646
237,1453939200000,37.6672,37.6672,37.6672,37.6672
238,1454025600000,38.9525,38.9525,38.9525,38.9525
239,1454284800000,36.3725,36.3725,36.3725,36.3725
240,1454371200000,35.1385,35.1385,35.1385,35.1385
241,1454457600000,34.7962,34.7962,34.7962,34.7962
242,1454544000000,34.5206,34.5206,34.5206,34.5206
243,1454630400000,35.3771,35.3771,35.3771,35.3771
244,1455494400000,37.3898,37.3898,37.3898,37.3898
245,1455580800000,36.648,36.648,36.648,36.648
246,1455667200000,35.5034,35.5034,35.5034,35.5034
247,1455753600000,33.7867,33.7867,33.7867,33.7867
248,1455840000000,32.2169,32.2169,32.2169,32.2169
249,1456099200000,31.4423,31.4423,31.4423,31.4423
250,1456185600000,32.3801,32.3801,32.3801,32.3801
251,1456272000000,32.483000000000004,32.483000000000004,32.483000000000004,32.483000000000004
252,1456358400000,33.8487,33.8487,33.8487,33.8487
253,1456444800000,32.5314,32.5314,32.5314,32.5314
254,1456704000000,32.6322,32.6322,32.6322,32.6322
255,1456790400000,31.5121,31.5121,31.5121,31.5121
256,1456876800000,33.1463,33.1463,33.1463,33.1463
257,1456963200000,33.118,33.118,33.118,33.118
258,1457049600000,33.0071,33.0071,33.0071,33.0071
259,1457308800000,33.8201,33.8201,33.8201,33.8201
260,1457395200000,33.4159,33.4159,33.4159,33.4159
261,1457481600000,33.4663,33.4663,33.4663,33.4663
262,1457568000000,33.6364,33.6364,33.6364,33.6364
263,1457654400000,33.635999999999996,33.635999999999996,33.635999999999996,33.635999999999996
264,1457913600000,33.2841,33.2841,33.2841,33.2841
265,1458000000000,32.6382,32.6382,32.6382,32.6382
266,1458086400000,31.8899,31.8899,31.8899,31.8899
267,1458172800000,31.2471,31.2471,31.2471,31.2471
268,1458259200000,31.1629,31.1629,31.1629,31.1629
269,1458518400000,31.5606,31.5606,31.5606,31.5606
270,1458604800000,33.1125,33.1125,33.1125,33.1125
271,1458691200000,34.0404,34.0404,34.0404,34.0404
272,1458777600000,32.9049,32.9049,32.9049,32.9049
273,1458864000000,30.9842,30.9842,30.9842,30.9842
274,1459123200000,31.0957,31.0957,31.0957,31.0957
275,1459209600000,31.2112,31.2112,31.2112,31.2112
276,1459296000000,30.8728,30.8728,30.8728,30.8728
277,1459382400000,30.9589,30.9589,30.9589,30.9589
278,1459468800000,30.4957,30.4957,30.4957,30.4957
279,1459814400000,30.1875,30.1875,30.1875,30.1875
280,1459900800000,29.9619,29.9619,29.9619,29.9619
281,1459987200000,28.8004,28.8004,28.8004,28.8004
282,1460073600000,27.6604,27.6604,27.6604,27.6604
283,1460332800000,27.6271,27.6271,27.6271,27.6271
284,1460419200000,26.6528,26.6528,26.6528,26.6528
285,1460505600000,26.4958,26.4958,26.4958,26.4958
286,1460592000000,26.0574,26.0574,26.0574,26.0574
287,1460678400000,26.0488,26.0488,26.0488,26.0488
288,1460937600000,26.194000000000003,26.194000000000003,26.194000000000003,26.194000000000003
289,1461024000000,25.4861,25.4861,25.4861,25.4861
290,1461110400000,25.618000000000002,25.618000000000002,25.618000000000002,25.618000000000002
291,1461196800000,25.053,25.053,25.053,25.053
292,1461283200000,24.5153,24.5153,24.5153,24.5153
293,1461542400000,25.1649,25.1649,25.1649,25.1649
294,1461628800000,25.5286,25.5286,25.5286,25.5286
295,1461715200000,25.4694,25.4694,25.4694,25.4694
296,1461801600000,24.4013,24.4013,24.4013,24.4013
297,1461888000000,23.5798,23.5798,23.5798,23.5798
298,1462233600000,23.4131,23.4131,23.4131,23.4131
299,1462320000000,22.864,22.864,22.864,22.864
300,1462406400000,22.5297,22.5297,22.5297,22.5297
301,1462492800000,23.4901,23.4901,23.4901,23.4901
302,1462752000000,26.1118,26.1118,26.1118,26.1118
303,1462838400000,24.8869,24.8869,24.8869,24.8869
304,1462924800000,23.4724,23.4724,23.4724,23.4724
305,1463011200000,23.4546,23.4546,23.4546,23.4546
306,1463097600000,22.7878,22.7878,22.7878,22.7878
307,1463356800000,22.4988,22.4988,22.4988,22.4988
308,1463443200000,22.026,22.026,22.026,22.026
309,1463529600000,22.1293,22.1293,22.1293,22.1293
310,1463616000000,21.4203,21.4203,21.4203,21.4203
311,1463702400000,20.5421,20.5421,20.5421,20.5421
312,1463961600000,19.8213,19.8213,19.8213,19.8213
313,1464048000000,19.6363,19.6363,19.6363,19.6363
314,1464134400000,20.2828,20.2828,20.2828,20.2828
